,Hour Count,Actual: ,Predicted: 
41782,41782,2609,2576.2097484220403
41783,41783,2475,2560.421708998104
41784,41784,2276,2395.5974663245916
41785,41785,2087,2205.3041235953924
41786,41786,1973,2052.333802095399
41787,41787,1891,1830.6613228046015
41788,41788,1847,1782.3116997320308
41789,41789,1858,1782.3116997320308
41790,41790,1905,1782.3116997320308
41791,41791,2001,1821.381042042581
41792,41792,2247,1942.1754090112222
41793,41793,2370,2197.6469141919556
41794,41794,2396,2426.625477538094
41795,41795,2380,2271.445412676973
41796,41796,2291,2271.445412676973
41797,41797,2240,2244.652542433477
41798,41798,2222,2246.340346573614
41799,41799,2271,2287.675148597154
41800,41800,2355,2323.4644072652395
41801,41801,2414,2320.535939712275
41802,41802,2513,2337.841508382492
41803,41803,2661,2590.8743975584657
41804,41804,2795,2652.1642206047263
41805,41805,2850,2656.347353774863
41806,41806,2748,2642.9756842644774
41807,41807,2586,2629.580740428776
41808,41808,2316,2417.503795668906
41809,41809,2107,2210.5430878319594
41810,41810,1979,2053.8143975744815
41811,41811,1896,1830.6613228046015
41812,41812,1859,1782.3116997320308
41813,41813,1834,1826.7294432437461
41814,41814,1856,1875.5534896865588
41815,41815,2007,1838.6634763020127
41816,41816,2249,1942.1754090112222
41817,41817,2373,2197.6469141919556
41818,41818,2391,2267.9955675560186
41819,41819,2284,2255.9093922856787
41820,41820,2180,2243.61342975806
41821,41821,2189,2244.652542433477
41822,41822,2198,2256.188241919778
41823,41823,2251,2244.652542433477
41824,41824,2269,2256.4616089719325
41825,41825,2363,2253.533141418968
41826,41826,2477,2313.8613162528623
41827,41827,2623,2577.50272804808
41828,41828,2762,2638.79255109434
41829,41829,2814,2642.9756842644774
41830,41830,2696,2642.9756842644774
41831,41831,2511,2629.580740428776
41832,41832,2270,2417.503795668906
41833,41833,2068,2210.5430878319594
41834,41834,1954,2053.8143975744815
41835,41835,1873,1830.6613228046015
41836,41836,1815,1795.5818156403827
41837,41837,1793,1782.3116997320308
41838,41838,1836,1782.3116997320308
41839,41839,1981,1821.381042042581
41840,41840,2203,1942.1754090112222
41841,41841,2281,2197.6469141919556
41842,41842,2265,2245.851709682237
41843,41843,2250,2233.7655344118966
41844,41844,2216,2233.7655344118966
41845,41845,2186,2223.827484345909
41846,41846,2164,2233.7655344118966
41847,41847,2205,2233.7655344118966
41848,41848,2274,2233.7655344118966
41849,41849,2383,2253.533141418968
41850,41850,2460,2313.8613162528623
41851,41851,2559,2577.50272804808
41852,41852,2714,2638.79255109434
41853,41853,2770,2642.9756842644774
41854,41854,2658,2642.9756842644774
41855,41855,2495,2629.580740428776
41856,41856,2263,2445.283970102269
41857,41857,2061,2373.00395903707
41858,41858,1942,2061.612688330948
41859,41859,1856,1843.9314387129536
41860,41860,1812,1795.5818156403827
41861,41861,1827,1916.5377177317998
41862,41862,1834,1898.0289236836447
41863,41863,1991,1919.2517079097324
41864,41864,2241,2049.3591960193157
